# Scan Name:	20210614_SnO2_H2_TPR
# Run Number:	15
# Session Id:	378
# Trajectory Name:	Sn_EXAFS_92.tra
# First Scan Create Date:	6/14/2021 4:33:52 PM
# This Scan Create Date:	6/14/2021 4:58:34 PM
# Encoder Resolution:	87466.6666666667
# Encoder Offset:	21.1068268887761
# Lattice Spacing:	1.9202
# Analog In 1 Offset:	-2151695974.4
# Analog In 2 Offset:	-2151147110.4
# Analog In 3 Offset:	-2152253030.4
# Analog In 4 Offset:	-2151748403.2
# Analog In 5 Offset:	-2763794022.4
# Analog In 6 Offset:	-2764287180.8
# Analog In 7 Offset:	-2763074764.8
# Analog In 8 Offset:	-2763220582.4
# Encoder	Energy	ADC_01	ADC_02	ADC_03	ADC_04	ADC_05	ADC_06	ADC_07	ADC_08
-1287751	29034.4954916975	184406297.6	474849367.6	544459429.6	-33180.1999998093	-63734.4000000954	61308.1999998093	-41540.8000001907	16429.5999999046
-1287756	29034.7543999489	184698158.6	475015201.6	544718126.6	42885.8000001907	-70456.4000000954	54643.1999998093	-46619.8000001907	10804.5999999046
-1287762	29035.065095984	184609098.6	475115924.6	544861401.6	-73841.1999998093	-63895.4000000954	59844.1999998093	-42664.8000001907	15413.5999999046
-1287768	29035.3757987101	184518339.6	475166206.6	544828036.6	-65374.1999998093	-74005.4000000954	50732.1999998093	-51357.8000001907	6099.59999990463
-1287773	29035.63472276	184395521.6	474455239.6	544568543.6	122761.800000191	-67094.4000000954	58169.1999998093	-44535.8000001907	13717.5999999046
-1287778	29035.8936514568	184782339.6	475305441.6	544044341.6	192426.800000191	-59137.4000000954	65811.1999998093	-36661.8000001907	21732.5999999046
-1287784	29036.2043720269	184406790.6	474187116.6	543869825.6	-18388.1999998093	-79692.4000000954	47478.1999998093	-56503.8000001907	2132.59999990463
-1287790	29036.515099289	185025997.6	476134677.6	545172122.6	-95113.1999998093	-60323.4000000954	66559.1999998093	-37590.8000001907	20761.5999999046
-1287795	29036.774043786	184306720.6	474256756.6	543982496.6	15344.8000001907	-73420.4000000954	52967.1999998093	-51146.8000001907	8032.59999990463
-1287801	29037.0847833171	184845996.6	474756465.6	545181870.6	118285.800000191	-71344.4000000954	55569.1999998093	-48886.8000001907	11011.5999999046
-1287806	29037.3437380387	184320662.6	474768947.6	544132224.6	-107296.199999809	-60683.4000000954	64864.1999998093	-39583.8000001907	20481.5999999046
-1287812	29037.6544898395	184484121.6	474755979.6	544445108.6	91951.8000001907	-76810.4000000954	48275.1999998093	-54119.8000001907	4527.59999990463
-1287818	29037.9652483332	184124905.6	474672781.6	543190069.6	-93756.1999998093	-58647.4000000954	67180.1999998093	-35512.8000001907	22873.5999999046
-1287823	29038.2242188575	184619025.6	475944992.6	543965359.6	-128374.199999809	-82006.4000000954	46712.1999998093	-58043.8000001907	-599.400000095367
-1287828	29038.4831940298	184389211.6	474014503.6	543358326.6	-30196.1999998093	-71166.4000000954	56550.1999998093	-47313.8000001907	8523.59999990463
-1287834	29038.7939703724	184853380.6	475279736.6	543806040.6	15947.8000001907	-58416.4000000954	67485.1999998093	-36262.8000001907	20517.5999999046
-1287840	29039.1047534086	184152305.6	473405539.6	543292947.6	53196.8000001907	-77270.4000000954	48858.1999998093	-53687.8000001907	1216.59999990463
-1287845	29039.3637443855	184657065.6	473678151.6	544290529.6	7852.80000019073	-63859.4000000954	60738.1999998093	-41149.8000001907	13778.5999999046
-1287851	29039.6745396941	184239619.6	474565152.6	544696984.6	24013.8000001907	-81394.4000000954	43074.1999998093	-59603.8000001907	-3301.40000009537
-1287857	29039.9853416969	184346801.6	474276123.6	544015067.6	112890.800000191	-57497.4000000954	70019.1999998093	-34275.8000001907	20848.5999999046
-1287862	29040.2443484798	184679757.6	475119441.6	545178179.6	-125243.199999809	-71053.4000000954	53868.1999998093	-49044.8000001907	6331.59999990463
-1287868	29040.5551627562	184646537.6	475119719.6	544596739.6	-78183.1999998093	-59075.4000000954	66231.1999998093	-36308.8000001907	18061.5999999046
-1287874	29040.8659837274	184218181.6	473499044.6	543819996.6	-37998.1999998093	-68246.4000000954	57307.1999998093	-44531.8000001907	11438.5999999046
-1287879	29041.1250063177	184774096.6	475321555.6	544917308.6	141771.800000191	-71662.4000000954	52909.1999998093	-49130.8000001907	8007.59999990463
-1287885	29041.4358395635	184654631.6	475140283.6	544315761.6	-161230.199999809	-53815.4000000954	70534.1999998093	-32925.8000001907	24852.5999999046
-1287891	29041.7466795049	184476608.6	474119763.6	542980097.6	-138110.199999809	-73826.4000000954	51416.1999998093	-52430.8000001907	4310.59999990463
-1287896	29042.0057179041	184032174.6	474579737.6	543026130.6	148725.800000191	-51282.4000000954	74699.1999998093	-28573.8000001907	28185.5999999046
-1287902	29042.3165701211	183893954.6	473318053.6	542808636.6	-55404.1999998093	-63826.4000000954	62242.1999998093	-41328.8000001907	15270.5999999046
-1287908	29042.6274290343	184070208.6	474717171.6	543244726.6	287245.800000191	-57384.4000000954	70230.1999998093	-33916.8000001907	23100.5999999046
-1287913	29042.8864832439	184419109.6	474876447.6	543134671.6	-203859.199999809	-61223.4000000954	64257.1999998093	-39523.8000001907	18546.5999999046
-1287919	29043.1973544338	184207123.6	473740221.6	542792161.6	-56383.1999998093	-71002.4000000954	56496.1999998093	-47222.8000001907	10501.5999999046
-1287925	29043.5082323206	183819837.6	473457844.6	542860980.6	23373.8000001907	-58844.4000000954	68277.1999998093	-34200.8000001907	22201.5999999046
-1287930	29043.7673023419	183665525.6	472723216.6	541703221.6	-207083.199999809	-65665.4000000954	61712.1999998093	-40485.8000001907	15709.5999999046
-1287936	29044.0781925066	183972955.6	473448946.6	542737690.6	121603.800000191	-55462.4000000954	70183.1999998093	-31271.8000001907	25671.5999999046
-1287942	29044.3890893686	184216818.6	473666241.6	542347687.6	25132.8000001907	-69630.4000000954	56957.1999998093	-45811.8000001907	10647.5999999046
-1287947	29044.6481752031	183900381.6	473455863.6	542875385.6	32743.8000001907	-45431.4000000954	80612.1999998093	-21188.8000001907	33220.5999999046
-1287953	29044.9590843442	184069539.6	473048694.6	543327219.6	-7147.19999980927	-66401.4000000954	60764.1999998093	-42629.8000001907	13598.5999999046
-1287959	29045.2700001833	184479950.6	474119308.6	543397696.6	-11251.1999998093	-54036.4000000954	72289.1999998093	-31417.8000001907	24518.5999999046
-1287964	29045.5291018325	183778142.6	472940741.6	542334736.6	-250013.199999809	-74058.4000000954	50975.1999998093	-51717.8000001907	4266.59999990463
-1287970	29045.8400299517	184495643.6	474159864.6	543941291.6	184472.800000191	-58993.4000000954	67066.1999998093	-36075.8000001907	20493.5999999046
-1287976	29046.1509647696	184428237.6	475138540.6	543987425.6	-181409.199999809	-64016.4000000954	61046.1999998093	-42119.8000001907	14601.5999999046
-1287981	29046.4100822349	183451623.6	472493156.6	541516292.6	182504.800000191	-63525.4000000954	61214.1999998093	-41766.8000001907	15092.5999999046
-1287987	29046.721029334	184197911.6	473626769.6	543228808.6	-238502.199999809	-51158.4000000954	74472.1999998093	-30095.8000001907	27699.5999999046
-1287993	29047.0319831323	184013611.6	473842147.6	543400588.6	43882.8000001907	-62068.4000000954	63209.1999998093	-41054.8000001907	17555.5999999046
-1287999	29047.3429436301	184092731.6	472562486.6	542712699.6	-27281.1999998093	-57695.4000000954	67833.1999998093	-37013.8000001907	22345.5999999046
