0000000077,scans,0000000146,DataLength
"header",0000000029,"lines"
"Date",6/14/2021,"Time",4:20:01 PM
"ID","HAL RC RGA 201 #16792","Version",3
"Scans",9
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Faraday","mass",2.00,2.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 2","RGA","Faraday","mass",4.00,4.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 3","RGA","Faraday","mass",18.00,18.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 4","RGA","Faraday","mass",28.00,28.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 5","RGA","Faraday","mass",32.00,32.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 6","RGA","Faraday","mass",40.00,40.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 7","RGA","Faraday","mass",44.00,44.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 8","RGA","Temperature","mass",1.00,1.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 9","RGA","vacuum","mass",1.00,1.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Environment",
"Global","RGA"
"F1",0,"( 1 = on, 0 = off )"
"F2",1,"( 1 = on, 0 = off )"
"cage",3.0,"V"
"curtail-clipping",0,"( 1 = on, 0 = off )"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",200.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",840,"V"
01:33:48,   5628241,  5.49646e-07,  8.25630e-10,  6.05161e-09,  8.34915e-09,  1.54936e-09,  3.92374e-06,  7.53251e-11,   449.6248,  2.01848e-06,
01:35:34,   5734733,  5.54161e-07,  7.88500e-10,  5.93916e-09,  8.32545e-09,  1.57826e-09,  3.91299e-06,  7.71848e-11,   449.3560,  2.01848e-06,
01:37:21,   5841226,  5.51259e-07,  7.66839e-10,  5.84881e-09,  8.32553e-09,  1.53981e-09,  3.90358e-06,  8.36241e-11,   449.4098,  2.01848e-06,
01:39:07,   5947717,  5.51689e-07,  7.30665e-10,  5.75630e-09,  8.33616e-09,  1.52642e-09,  3.90292e-06,  6.61124e-11,   449.7323,  2.01848e-06,
01:40:54,   6054206,  5.49754e-07,  6.95663e-10,  5.70728e-09,  8.29585e-09,  1.57610e-09,  3.89552e-06,  6.43708e-11,   449.5710,  2.01848e-06,
01:42:39,   6159521,  5.46529e-07,  6.83580e-10,  5.70261e-09,  8.29159e-09,  1.52444e-09,  3.90023e-06,  6.38549e-11,   449.6248,  2.01848e-06,
01:44:24,   6264970,  5.49539e-07,  6.47245e-10,  5.64069e-09,  8.28259e-09,  1.56608e-09,  3.88947e-06,  8.47743e-11,   449.7323,  2.01848e-06,
01:46:11,   6371461,  5.50399e-07,  6.11652e-10,  5.60728e-09,  8.27635e-09,  1.57594e-09,  3.89082e-06,  6.19736e-11,   449.5173,  2.01848e-06,
01:47:56,   6476914,  5.75339e-07,  6.23026e-10,  5.60564e-09,  8.27945e-09,  1.56466e-09,  3.87940e-06,  7.50133e-11,   356.1523,  2.01848e-06,
01:49:43,   6583403,  5.52549e-07,  6.97243e-10,  5.52039e-09,  8.26285e-09,  1.59558e-09,  3.88477e-06,  8.32478e-11,   185.0099,  2.01848e-06,
01:51:29,   6689893,  5.56956e-07,  6.66477e-10,  5.32439e-09,  8.26296e-09,  1.88723e-09,  3.87671e-06,  6.97136e-11,    95.0312,  2.01848e-06,
01:53:15,   6795343,  5.58891e-07,  5.96796e-10,  5.13012e-09,  8.28716e-09,  1.90678e-09,  3.87200e-06,  6.69938e-11,    62.7270,  2.01848e-06,
01:55:00,   6900794,  5.42336e-07,  5.51162e-10,  4.91181e-09,  8.19214e-09,  1.90820e-09,  3.87402e-06,  7.17668e-11,    48.3756,  2.01848e-06,
01:56:47,   7007285,  5.49646e-07,  5.30737e-10,  4.72815e-09,  8.21440e-09,  1.91811e-09,  3.85924e-06,  7.85071e-11,    41.0655,  2.01848e-06,
01:58:33,   7113779,  5.50291e-07,  4.95079e-10,  4.56333e-09,  8.25362e-09,  1.89446e-09,  3.86663e-06,  7.83243e-11,    37.0342,  2.01848e-06,
02:00:20,   7220275,  5.41691e-07,  4.79954e-10,  4.45825e-09,  8.25268e-09,  1.90710e-09,  3.85252e-06,  6.29841e-11,    34.4542,  2.01848e-06,
02:02:06,   7326769,  5.43196e-07,  4.62195e-10,  4.33975e-09,  8.15648e-09,  1.88655e-09,  3.85386e-06,  7.52498e-11,    32.7879,  2.01848e-06,
02:03:53,   7433123,  5.35671e-07,  4.51144e-10,  4.23750e-09,  8.21078e-09,  1.87138e-09,  3.85386e-06,  7.62603e-11,    31.4441,  2.01848e-06,
02:05:39,   7539619,  5.43519e-07,  4.40330e-10,  4.16923e-09,  8.13721e-09,  1.86092e-09,  3.84446e-06,  6.76388e-11,    30.6379,  2.01848e-06,
02:07:25,   7645971,  5.40401e-07,  4.12122e-10,  4.11467e-09,  8.17030e-09,  1.88497e-09,  3.84378e-06,  6.11781e-11,    30.0466,  2.01848e-06,
